LAT,LONG,Depth,Year
28.39833333,-95.45633333,28.5,2012
28.56633333,-95.50716667,20.1,2012
28.69866667,-95.50658333,14.8,2012
28.76958333,-95.38391667,15.4,2012
28.81383333,-94.84508333,20.1,2012
27.99233333,-94.48508333,79.7,2012
29.03058333,-94.7445,18.3,2012
28.10008333,-94.19991667,60,2012
29.06208333,-94.63791667,17.9,2012
28.151,-94.1185,62.2,2012
29.06991667,-94.45583333,16.5,2012
28.21066667,-94.22525,53.9,2012
29.03616667,-94.46183333,17.6,2012
28.25016667,-94.22633333,51.4,2012
29.01458333,-94.35291667,14.3,2012
28.313,-94.29141667,47.2,2012
28.827,-94.32608333,24.5,2012
28.39741667,-93.9675,48.5,2012
28.26725,-93.87608333,60,2012
28.79208333,-94.30833333,27.2,2012
28.33716667,-93.75058333,54.9,2012
28.52658333,-94.31791667,36.9,2012
28.63016667,-94.09291667,32,2012
28.44691667,-94.46541667,39.3,2012
28.71433333,-94.09766667,27.6,2012
28.4375,-94.59533333,39.3,2012
28.67125,-94.09741667,29.6,2012
28.28875,-94.95425,44.1,2012
29.31166667,-94.30833333,16.1,2012
28.11608333,-94.757,52.3,2012
29.42266667,-94.32866667,13.7,2012
28.01583333,-94.69308333,71.3,2012
29.34825,-94.42016667,13.7,2012
28.00708333,-94.64308333,71.3,2012
29.06875,-93.94383333,19.4,2012
29.06225,-93.8435,18.7,2012
29.02808333,-93.83758333,19.2,2012
28.91475,-93.78766667,22.7,2012
28.82616667,-93.76841667,23.4,2012
28.74066667,-93.62558333,23.8,2012
28.626,-93.70125,35.7,2012
